Dur,Proto,Dir,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,TotBytes_over_TotPkts,SrcBytes_over_TotPkts,TotPkts_over_Dur,TotBytes_over_Dur,SrcBytes_over_Dur
3.035879,0,3,892,0,3,222,222.0,0.0,1.0,0.0,73.1254440641409,73.1254440641409,0.0
0.0,0,3,892,0,1,74,74.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0,3,892,0,1,74,74.0,0.0,1.0,0.0,0.0,0.0,0.0
0.00033,3,4,2190507,2,102,42,0.0,0.0,0.0,0.0,127272.72727272728,0.0,0.0
0.0,0,3,892,0,1,74,74.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0,3,892,0,1,74,74.0,0.0,1.0,0.0,0.0,0.0,0.0
0.000425,3,4,2190507,2,102,42,0.0,0.0,0.0,0.0,98823.52941176471,0.0,0.0
